Layer,Name,GEOID,Population,Longitude,Latitude,SVI,ViolentCrime,Robbery,Pop_2019_2023,InfantMortality,CrowdedHousing,TreeCanopy,LowFoodAccess,GradRate,Unemployment,PerCapitaIncome,PovertyRate,TeenBirthRate,BirthRate,IndLivingDiff,city_side,city_side_numeric
Community area,West Englewood,67,29899,-87.666598,41.775926,87.3709572,632.343177,189.228855,26925.8449,14.335146,2.49760559,25.9,63.5006602,76.126146,20.3143238,20384.0456,33.024435,33.079341,25.71681,8.02819411,South,0
Community area,Garfield Ridge,56,35352,-87.764246,41.796185,48.5186504,100.944437,29.0512365,36353.3983,5.0505051,2.57020454,12.0,47.7369889,83.1442476,4.33387327,38139.5636,7.32144733,8.4899939,19.963479,4.81033284,South,0
Community area,Dunning,17,43120,-87.806015,41.946522,44.3129853,118.017901,36.214354,41790.5439,4.9407115,2.57093486,18.8,47.3604794,89.0554349,5.41415028,40403.493,8.64930645,7.3519583,18.308872,4.18869899,North,1
Community area,Near South Side,33,27296,-87.620344,41.857196,25.3666114,206.671542,92.3937018,27534.5086,3.6900369,2.67889984,13.8,3.9345582,95.8975028,4.55860366,94648.7425,7.31578232,7.2506756,26.850748,3.74229358,North,1
Community area,Greater Grand Crossing,69,31543,-87.616139,41.763251,86.7071345,786.914376,219.045376,29636.65,11.922504,2.84644329,21.4,10.5555863,86.58273,15.4269061,25353.9698,27.4368483,33.627575,23.034066,8.49539574,South,0
Community area,Montclare,18,14412,-87.798033,41.929306,79.5071575,21.0693256,6.38299851,14094.3982,1.4641288,2.93633966,18.6,0.07582526,80.7327948,3.95494427,34401.6561,9.98657158,9.1227733,18.618218,8.44130831,North,1
Community area,Irving Park,16,51911,-87.723457,41.953589,59.7646908,231.509997,91.1998443,53799.2172,4.9537649,2.9695148,24.8,15.215599,87.6578953,6.22568116,48622.549,10.5327404,11.731242,23.284964,2.95378256,North,1
Community area,Washington Park,40,12709,-87.617936,41.792356,83.9528871,314.434155,80.9187315,13111.9161,6.119951,2.96991551,21.9,65.4569603,85.8857903,17.550929,19095.1775,44.8546736,29.167946,22.788256,5.91421845,South,0
Community area,Auburn Gresham,71,44959,-87.656305,41.744203,85.2261348,709.009512,215.821561,45108.9723,11.807818,3.0019254,18.7,25.2419026,85.4436027,17.7997067,24754.6248,25.2783275,27.243077,19.67605,9.97517725,South,0
Community area,Uptown,3,55120,-87.655899,41.965822,62.7148271,294.201256,99.8828361,55447.8769,7.5728891,3.1584222,23.5,0.01591642,91.4810748,4.5999425,51959.0278,20.6454055,8.9704265,20.043457,5.37709692,North,1
Community area,Edgewater,77,56308,-87.663419,41.986719,57.5190447,237.259845,81.0355365,56157.1071,3.417343,3.20021552,26.3,0.00151651,93.4697105,7.23242364,54939.9858,14.0712317,4.9660182,17.204721,4.01948275,North,1
Community area,Portage Park,15,63038,-87.763401,41.954043,59.5761244,221.780063,78.7105714,61811.4449,5.8972199,3.26285292,19.4,24.8257787,88.4036089,4.53179446,41742.3207,9.68827544,9.3946962,22.126753,4.09377081,North,1
Community area,McKinley Park,59,15927,-87.6725,41.829927,72.8332512,162.757291,57.5836871,15440.8801,7.1633238,3.33546381,15.0,3.39383264,78.5310985,8.31946358,36191.1505,11.680868,8.8874525,17.646404,3.08133681,South,0
Community area,Near West Side,28,67817,-87.663513,41.874016,41.3776803,1042.27524,433.205472,65999.4041,4.0201005,3.47487587,14.6,16.3899041,94.7788294,7.10344504,79363.6711,15.6414251,7.3012968,23.587128,3.98935317,North,1
Community area,Bridgeport,60,33593,-87.648784,41.836151,60.9745202,230.612306,80.7471007,33001.9334,3.7712131,3.48561696,13.0,35.0811114,82.6582896,6.12177422,39715.4341,15.4408133,6.4454585,19.01777,4.51075971,South,0
Community area,Clearing,64,24519,-87.768517,41.779582,56.6576541,65.6445905,18.0747657,24962.2632,4.4809559,3.5007112,8.8,49.147761,85.7627159,8.51206586,33725.3779,7.93746813,7.2413169,21.696789,3.71336775,South,0
Community area,South Shore,43,51919,-87.57279,41.761583,85.2671456,592.049185,149.618775,51948.0768,12.619372,3.61989149,23.1,57.595988,88.7840922,14.6683877,30588.2149,29.7928331,25.657028,20.593633,7.15759953,South,0
Community area,Ashburn,70,41280,-87.708363,41.745756,73.2604419,280.388104,73.4093782,42255.0711,6.5086007,3.65798663,15.3,68.2132581,80.9604551,9.33430352,30328.5951,16.1574215,11.230001,20.03116,4.62410112,South,0
Community area,Loop,32,43440,-87.625194,41.878881,36.3953843,432.33011,226.466363,43260.7983,3.4246575,3.85983498,17.8,0.00345936,96.3055452,7.329214,107142.339,9.90784078,0.1559624,15.559212,1.83751302,North,1
Community area,Albany Park,14,48549,-87.721558,41.968078,72.6113171,127.008309,42.2758025,46804.2845,4.290311,4.07864471,23.8,3.89779136,81.7761815,6.50481069,40848.8493,13.6189508,12.382368,23.256007,2.69445092,North,1
Community area,Austin,25,96753,-87.763117,41.894113,88.2699114,1860.05814,642.610852,99100.0738,9.5778645,4.47204783,19.0,32.4076171,81.73084,14.623578,25795.7042,24.7464912,29.046643,21.812934,5.95725062,North,1
Community area,South Chicago,46,27254,-87.551435,41.741243,81.9392609,358.299047,84.4951277,29338.0631,16.686532,4.56894755,19.3,25.3540326,80.7924576,15.4794563,25180.1243,29.0262423,28.012393,22.64917,7.09497093,South,0
